Categoria,Produto,Descrição,Imagem
,TCS230 TCS3200,Sensor de reconhecimento de cor,
,MAX9814,Sensor de som,
,HC-SR501,Sensor de movimento,
,KY-003 A3144,Sensor de efeito Hall,
,TCRT5000L,Sensor óptico de reflexão infrared,
,GY-521 MPU6050,Giroscópio / acelerômetro,
,MQ135,Sensor de Gás,
,LM393,"sensor de solo, hum,...",
,BMI160,Acelerômetro / Giroscópio,
,Sensor infravermelho,Sensor infrared usado em robô de linha,
,YF-S201,Sensor de fluxo de água,
,Joystick Analógico,Joystick sensor potenciômetro,
Solda,Wire desoldering 3mm,,
,Fluxo de solda RMA223,Fluxo de solda para chips ,
,Estanho para solda 0.8mm 50g,Estanho da marca LEFAVOR,
,Estanho para solda 1mm 50g,,
,Kit ferro de solda 60W,"Contém estanho, pontas, bucha e base ",
,Kit ferro de solda 80W,"Contém estanho, pontas, bucha e base ",
,Estanho para solda 30g SUPER SOLDER WIRE,,
,Estanho para Solda 100g SUPER SOLDER WIRE,,
,Estanho para solda 20g SUPER SOLDER WIRE,,
,Estanho para solda 50g SUPER SOLDER WIRE,,
Termistor,Termistor NTC 1k,,
,Termistor NTC 2k,,
,Termistor NTC 3k,,
,Termistor NTC 4.7k,,
,Termistor NTC 5k,,
,Termistor NTC 10k,,
,Termistor NTC 20k,,
,Termistor NTC 47k,,
,Termistor NTC 50k,,
,Termistor NTC 100k,,
Tiristor,BT134,Tiristor (SCR) para controle de cargas AC,
,C106,Tiristor (SCR) para controle de cargas AC,
,2P4M,Tiristor (SCR) para controle de cargas AC,
,BTA16,TRIAC,
,BT136,TRIAC,
,C106MG,SCR (Tiristor de controle de silício) ,
,C106DG,SCR (Tiristor de controle de silício) ,
,MAC97A6,TRIAC (Triode for Alternating Current) ,
,2N6509,SCR (Tiristor de controle de silício) ,
,2N6504,SCR (Silicon Controlled Rectifier) ,
Transistor,78L05,Regulador de tensão,
,78L06,Regulador de tensão,
,78L08,Regulador de tensão,
,78L09,Regulador de tensão,
,78L12,Regulador de tensão,
,78L15,Regulador de tensão,
,LM317 TO-92,Regulador de tensão,
,79L05,Regulador de tensão,
,79L12,Regulador de tensão,
,79L15,Regulador de tensão,
,L7805,Regulador de tensão,
,L7809,Regulador de tensão,
,L7812,Regulador de tensão,
,L7815,Regulador de tensão,
,L7905,Regulador de tensão,
,L7909,Regulador de tensão,
,L7912,Regulador de tensão,
,LM317 TO-220,Regulador de tensão,
,IRLZ44N,Transistor de efeito de campo (MOSFET canal N) ,
,B772,Transistor PNP de potência (uso geral),
,D669,Transistor NPN de potência (uso geral),
,BD136,Transistor PNP de potência (uso geral),
,D882,Transistor NPN de potência (uso geral),
,B648,Transistor PNP de uso geral (baixa potência),
,BD235,Transistor NPN de potência (uso geral),
,BD139,Transistor NPN de potência (uso geral),
,D237,Transistor NPN de potência (uso geral),
,BD438,Transistor PNP de potência (uso geral),
,BD140,Transistor PNP de potência (uso geral),
,D238,Transistor NPN de potência (uso geral),
,13003,Transistor NPN de alta tensão para fontes chaveadas,
,Dissipador de calor para transistor TO-220,Dissipador de calor 15*10*22mm,
,TIP120,Transistor NPN Darlington ,
,BC550,Transistor BJT NPN ,
,BC517,Transistor Darlington NPN ,
,BC547,Transistor BJT NPN ,
,BC337,Transistor BJT NPN ,
